ROWNUM|ACCOUNTID|MERCHANT_NAME|MERCHANT_CATEGORY_CODE|MERCHANT_CATEGORY_DESC|MERCHANT_COUNTRY|POST_DATE|TRANSACTION_DATE|TRANSACTION_TYPE|CREDIT_DEBIT|CREDIT_LIMIT|AMOUNT|BALANCE|CREDITCARDNUMBER|CC_TYPE|USE_CASE|CUST_NAME|NUM_CCS|CUST_CITY|CUST_STATE|CUST_ZIP|CUST_COUNTRY|TRANS_DETAIL
0_2016-02-01 22:08:53|10786155|Construction Provider|3691|Hotels/Motels/Inns/Resorts|US|2015-01-03|2015-01-02|Fee|D|3000|378|2622|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
1_2016-02-01 22:08:53|10786155|Future Data Future|4900|Utilities|US|2015-01-05|2015-01-04|Interest Charge|D|3000|550|2072|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
2_2016-02-01 22:08:53|10786155|Digital Omega|3048|Airlines|US|2015-01-06|2015-01-05|Purchase|D|3000|671|1401|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
3_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-01-07|2015-01-06|ACH Payment|C|3000|1381|2782|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
4_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-01-09|2015-01-08|Online Transfer|C|3000|487|3269|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
5_2016-02-01 22:08:53|10786155|Frontier Source Data|8675|Automobile Associations|US|2015-01-12|2015-01-11|Fee|D|3000|118|3151|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
6_2016-02-01 22:08:53|10786155|Innovation Federated Design|3549|Hotels/Motels/Inns/Resorts|US|2015-01-15|2015-01-14|Interest Charge|D|3000|128|3023|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
7_2016-02-01 22:08:53|10786155|Industries North|3094|Airlines|US|2015-01-16|2015-01-15|Purchase|D|3000|9|3014|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
8_2016-02-01 22:08:53|10786155|Resource Digital|3421|Car Rental|US|2015-01-17|2015-01-16|Interest Charge|D|3000|5|3009|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
9_2016-02-01 22:08:53|10786155|Vision Application Atlantic|3139|Airlines|US|2015-01-18|2015-01-17|Penalty|D|3000|5|3004|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
10_2016-02-01 22:08:53|10786155|Graphics Solutions Alpha|3045|Airlines|US|2015-01-19|2015-01-18|Penalty|D|3000|4|3000|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
11_2016-02-01 22:08:53|10786155|Solutions Bell General|7641|Furniture Repair Refinishing|US|2015-01-21|2015-01-20|Fee|D|3000|2761|239|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
12_2016-02-01 22:08:53|10786155|People Architecture Data|3199|Airlines|US|2015-01-22|2015-01-21|Purchase|D|3000|200|39|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
13_2016-02-01 22:08:53|10786155|Vision Systems|3537|Hotels/Motels/Inns/Resorts|US|2015-01-24|2015-01-23|Purchase|D|3000|13|26|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
14_2016-02-01 22:08:53|10786155|Source Net Omega|7534|Tire Retreading and Repair|US|2015-01-25|2015-01-24|Purchase|D|3000|22|4|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
15_2016-02-01 22:08:53|10786155|Payment|1111|Customer Payment|US|2015-01-28|2015-01-27|Online Transfer|C|3000|2|6|30872153408866995|discover|Use Case 4 - Green|Ms. Roxane Effertz|2|PALO ALTO|CA|94303|US|
